"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",259231075
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",20532273
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",673279530
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",97225658
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",17275773
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",617131324
"ADI","DEXUS INDUSTRIA REIT","2013-12-03","Real Estate",1064168262
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",418463848
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",433816178
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",25538972
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",55496176
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",600165560
"ADV","ARDIDEN LTD","2005-10-25","Materials",23686689
"ADX","ADX ENERGY LTD","1987-01-29","Energy",29241493
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",16946529
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",59657810
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",95428731
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",1538579919
"AEG","ABSOLUTE EQUITY PERFORMANCE FUND LIMITED","2015-12-16","Not Applic",96868795
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",30478480
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",14162772
"AEV","AVENIRA LIMITED","2006-10-10","Materials",21571320
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",42014493
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",694352503
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",10114758456
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",32324347
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",439651275
"AFR","AFRICAN ENERGY RESOURCES LIMITED","2007-04-18","Energy",36726913
"AFW","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",17745648
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",10000000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",60618824
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",206999589
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",9457940306
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",84349492
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",441200047
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",3693507054
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",29634761
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",19702604
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",39523255
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",393847415
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",39786453
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",28759257
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",126651806
"AHK","ARK MINES LIMITED","2011-05-09","Materials","N/A"
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",11381546
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",162075636
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",127449364
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",11250290687
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",1031300
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",186934099
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",207410064
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",30940220
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",18895617
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",367927678
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",23027248
"AIY","AUTHORISED INVESTMENT FUND LIMITED","1999-03-19","Not Applic","N/A"
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1762865438
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services",19891458
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",46655179
"AJM","ALTURA MINING LIMITED","2001-01-08","Materials","N/A"
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",44794725
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",57017236
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",5440000
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",37646268
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",71102803
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",42641507
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",17182551
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",12207344
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",674131594
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",26330218
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",17022643
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",20675259
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",12760000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",387785549
"ALD","AMPOL LIMITED","1980-12-31","Energy",7437408510
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",748341385
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",386399355
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",515179658
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",32097499666
"ALLN","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",32097499666
"ALO","ALLOGGIO GROUP LIMITED",,"Class Pend",0
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",6527220655
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",9227602
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",5043153602
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",34819666
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",5974683548
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",10923956
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",21375025
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",496438058
"AMC","AMCOR PLC","1969-08-28","Materials",24699350947
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",12782922
"AME","ALTO METALS LIMITED","2012-12-20","Materials",45025974
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",381845732
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",456882241
"AML","AEON METALS LIMITED.","2007-06-14","Materials",43962920
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",97100924
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",34571381
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",3837674377
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",293504092
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",21936433
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",70800000
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",185407902
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",127959918
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",46063910
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",4175743990
"ANO","ADVANCE NANOTEK LIMITED","2005-02-24","Materials",208040410
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",126384795
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",10297829
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",12716787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",38520228
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",81050448687
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",4081026
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",4557356
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",374794236
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",38627235
"AOP","APOLLO CONSOLIDATED LIMITED","2005-06-29","Materials",189553384
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",48661112
"APA","APA GROUP","2000-06-13","Utilities",10288674355
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",60442589
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",3907952542
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"API","AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","1997-06-16","Health Care Equipment & Services",751300453
"APL","ANTIPODES GLOBAL INVESTMENT COMPANY LTD","2016-10-18","Not Applic",544032518
"APT","AFTERPAY LIMITED","2017-06-29","Software & Services",35276288634
"APV","APPSVILLAGE AUSTRALIA LIMITED","2019-08-27","Software & Services",5269399
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",52631638
"APX","APPEN LIMITED","2015-01-07","Software & Services",1395669547
"APZ","ASPEN GROUP","1991-04-11","Real Estate",227347299
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",9087266
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",13171037
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",49330119
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",16400000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",37028210
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",15072453
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",616850454
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",77940625
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",88544000
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",66596052
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",133444805
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",4117264476
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",19098484
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",30691809
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",27046536
"ARF","ARENA REIT.","2013-06-13","Real Estate",1576775812
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6871660308
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",66946596
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",46027066
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",18820965
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",62903899
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",451017461
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",333238676
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",117969779
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",379467726
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",23428354
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",8613291
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",676674748
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",456270000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",83506024
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",1689417733
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",109318053
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",109732704
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",50832269
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",26263384
"AST","AUSNET SERVICES LIMITED","2005-12-14","Utilities",9919608019
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",45128475
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",17057669724
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",150678419
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",128714942
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",67392488
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",118205827
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials",5288202253
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",11124666
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials","N/A"
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",72687819
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",28885010
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",39598399
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",24340161
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",23571712
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",14700000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1686727504
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",69755380
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",6600000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",11683908
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1247436480
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",15661492
"AUN","AURUMIN LIMITED","2020-12-09","Materials",15613276
"AUP","AURORA PROPERTY BUY-WRITE INCOME TRUST","2007-07-26","Not Applic","N/A"
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",19046589
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",25261176
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",118369704
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",103285419
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",37743451
"AV1NA","ADVERITAS LIMITED","2012-12-18","Software & Services",37743451
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",110329950
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",90106249
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",29377864
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",204637174
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",552091231
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",249831898
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",75458986
"AVN","AVENTUS GROUP","2015-10-16","Real Estate",2008967157
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",76155142
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",10312740
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials",1319450799
"AWC","ALUMINA LIMITED","1961-10-31","Materials",5629261949
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",10704697
"AWN","AWN HOLDINGS LIMITED","2003-06-04","Capital Goods",22775113
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",30094978
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",1370922789
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",9591614
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",395947531
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",41107798
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",68028168
"AYA","ARTRYA LIMITED",,"Class Pend",0
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",18425775
"AZI","ALTA ZINC LIMITED","2009-12-24","Materials",23547844
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6239986499
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",235162401
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",126991646
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",156985413
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2773000125
"BAS","BASS OIL LIMITED","2004-09-30","Energy",9225363
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",27341633
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",115219085
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",84805147
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",768059931
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",380208333
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",70993329
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",78852374
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",10387128
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",193948794
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",28895387
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",299978932
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",426844678
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",111329060
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",29296145
"BD1","BARD1 LIFE SCIENCES LIMITED","1991-04-18","Health Care Equipment & Services",91015571
"BDC","BARDOC GOLD LIMITED","2007-12-12","Materials",114576487
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",8169132
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",82459218
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",32065723
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco",12294789
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",6090233
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",26692974
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5210525742
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",1011965561
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",52739263
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",44842373
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",71695351
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",583753985
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2336117115
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1711865640
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",28976759
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",853692233
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",1023758980
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",31838133
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",6763467
"BHL","BOYUAN HOLDINGS LIMITED","2016-10-31","Real Estate","N/A"
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",106032035172
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",55639740
"BIO","BIOME AUSTRALIA LIMITED",,"Class Pend",0
"BIQ","BUILDINGIQ INC","2015-12-17","Software & Services","N/A"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials","N/A"
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",84323121
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",35096636
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",302190458
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1214839825
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1936486175
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",192440239
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3540926218
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",56976018
"BLD","BORAL LIMITED.","2000-02-21","Materials",7170074724
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",39126539
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",87108249
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",484607451
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",899598059
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",9315003
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",17279550
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",28948951
"BML","BOAB METALS LIMITED","2004-07-15","Materials",53722734
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",26564000
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",364624553
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",23765861
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",25485157
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",136772384
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",66809834
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",121151609
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",18535088
